option_strategy,sigma,strike_base,window_size_ratio,expire_period,Close price,Strike,Option gain,Option gain est,Loss percent,Loss std,Average loss,Loss expect,Profit daily %
CALL_OR_PUT,0.700,CLOSE_PRICE,8,5,163.570,171.905,274.500,-0.789,23.889,966.365,883.240,210.996,0.078
CALL_OR_PUT,0.700,CLOSE_PRICE,8,30,163.570,187.959,52.000,-25.414,53.333,2348.032,3485.967,1859.182,-0.368
CALL_OR_PUT,0.700,MOV_AVG,2,5,163.570,180.514,103.000,1.055,24.444,936.747,831.302,203.207,-0.123
CALL_OR_PUT,0.700,MOV_AVG,2,30,163.570,225.304,5.500,-99.089,48.333,2456.132,2695.800,1302.970,-0.264
CALL_OR_PUT,0.700,MOV_AVG,5,5,163.570,196.158,28.000,-58.374,9.444,799.782,708.959,66.957,-0.048
CALL_OR_PUT,0.700,MOV_AVG,5,30,163.570,246.169,3.500,-99.989,20.000,2579.029,3574.948,714.990,-0.145
CALL_OR_PUT,0.700,MOV_AVG,8,5,163.570,197.896,23.500,-62.793,5.556,834.824,732.926,40.718,-0.021
CALL_OR_PUT,0.700,MOV_AVG,8,30,163.570,248.975,3.500,-99.995,21.667,1941.697,2869.134,621.646,-0.126
CALL_OR_PUT,0.900,CLOSE_PRICE,2,5,163.570,170.624,274.500,13.275,41.111,1018.529,920.328,378.357,-0.127
CALL_OR_PUT,0.900,CLOSE_PRICE,2,30,163.570,187.991,52.000,-25.810,72.778,2759.875,3007.936,2189.109,-0.436
CALL_OR_PUT,0.900,CLOSE_PRICE,5,5,163.570,174.640,215.500,-5.080,23.889,891.475,819.049,195.662,0.024
CALL_OR_PUT,0.900,CLOSE_PRICE,5,30,163.570,188.509,52.000,-31.037,47.222,2392.952,3038.131,1434.673,-0.282
CALL_OR_PUT,0.900,CLOSE_PRICE,8,5,163.570,174.287,215.500,-1.219,19.444,920.714,786.061,152.845,0.077
CALL_OR_PUT,0.900,CLOSE_PRICE,8,30,163.570,194.927,34.000,-59.561,46.111,2020.907,3141.038,1448.368,-0.288
CALL_OR_PUT,0.900,MOV_AVG,2,5,163.570,182.081,103.000,-17.650,21.667,920.097,824.063,178.547,-0.092
CALL_OR_PUT,0.900,MOV_AVG,2,30,163.570,230.731,4.500,-99.649,42.778,2381.366,2590.328,1108.085,-0.225
CALL_OR_PUT,0.900,MOV_AVG,5,5,163.570,198.618,23.500,-67.336,5.556,791.027,718.721,39.929,-0.020
CALL_OR_PUT,0.900,MOV_AVG,5,30,163.570,251.711,2.500,-99.996,11.111,2047.671,3795.609,421.734,-0.085
CALL_OR_PUT,0.900,MOV_AVG,8,5,163.570,200.277,19.500,-69.105,4.444,861.632,754.750,33.544,-0.017
CALL_OR_PUT,0.900,MOV_AVG,8,30,163.570,255.943,2.000,-99.998,16.111,1697.088,2362.160,380.570,-0.077
CALL_AND_PUT,0.500,CLOSE_PRICE,2,5,163.570,167.489,855.000,-6.542,98.889,1129.522,1207.732,1194.313,-0.415
CALL_AND_PUT,0.500,CLOSE_PRICE,2,30,163.570,177.137,358.500,-25.572,100.000,3043.992,4108.083,4108.083,-0.764
CALL_AND_PUT,0.500,CLOSE_PRICE,5,5,163.570,169.720,672.500,-5.649,83.333,1092.209,1105.559,921.299,-0.304
CALL_AND_PUT,0.500,CLOSE_PRICE,5,30,163.570,177.425,310.500,-17.315,98.889,2918.848,3877.875,3834.787,-0.718
CALL_AND_PUT,0.500,CLOSE_PRICE,8,5,163.570,169.524,765.000,-15.473,67.778,1069.945,1030.513,698.459,0.081
CALL_AND_PUT,0.500,CLOSE_PRICE,8,30,163.570,180.990,203.500,-21.943,95.000,2893.199,3897.831,3702.939,-0.713
CALL_AND_PUT,0.500,MOV_AVG,2,5,163.570,178.946,1266.000,-9.756,99.444,1502.679,1655.387,1646.191,-0.465
CALL_AND_PUT,0.500,MOV_AVG,2,30,163.570,219.877,3160.500,-7.582,100.000,3599.685,5294.887,5294.887,-0.435
CALL_AND_PUT,0.500,MOV_AVG,5,5,163.570,193.698,2001.500,-6.821,97.778,1932.831,2072.468,2026.414,-0.030
CALL_AND_PUT,0.500,MOV_AVG,5,30,163.570,240.627,5146.000,-4.105,100.000,4366.864,6095.626,6095.626,-0.194
CALL_AND_PUT,0.500,MOV_AVG,8,5,163.570,195.514,2228.000,-7.489,92.778,2147.477,2407.366,2233.500,-0.007
CALL_AND_PUT,0.500,MOV_AVG,8,30,163.570,242.006,4396.000,-0.829,100.000,4528.284,7051.564,7051.564,-0.541
CALL_AND_PUT,0.700,CLOSE_PRICE,2,5,163.570,169.057,765.000,-11.196,88.889,1072.815,1109.645,986.351,-0.271
CALL_AND_PUT,0.700,CLOSE_PRICE,2,30,163.570,182.564,160.500,-21.589,100.000,2962.453,3609.780,3609.780,-0.703
CALL_AND_PUT,0.700,CLOSE_PRICE,5,5,163.570,172.180,525.000,-7.780,67.778,1034.095,1040.986,705.557,-0.221
CALL_AND_PUT,0.700,CLOSE_PRICE,5,30,163.570,182.967,160.500,-25.669,93.333,2807.115,3474.554,3242.917,-0.628
CALL_AND_PUT,0.700,CLOSE_PRICE,8,5,163.570,171.905,599.500,-16.644,48.333,1024.185,980.776,474.042,0.153
CALL_AND_PUT,0.700,CLOSE_PRICE,8,30,163.570,187.959,95.500,-42.809,78.333,2652.555,3597.654,2818.163,-0.555
CALL_AND_PUT,0.700,MOV_AVG,2,5,163.570,180.514,1060.500,-4.553,96.667,1429.020,1516.871,1466.309,-0.496
CALL_AND_PUT,0.700,MOV_AVG,2,30,163.570,225.304,2438.000,-1.760,100.000,3516.339,4731.157,4731.157,-0.467
CALL_AND_PUT,0.700,MOV_AVG,5,5,163.570,196.158,1770.500,-7.125,91.111,1839.511,1902.633,1733.510,0.045
CALL_AND_PUT,0.700,MOV_AVG,5,30,163.570,246.169,4396.000,-0.351,97.778,4211.874,5810.414,5681.294,-0.262
CALL_AND_PUT,0.700,MOV_AVG,8,5,163.570,197.896,1991.000,-7.511,80.000,2021.848,2177.011,1741.609,0.305
CALL_AND_PUT,0.700,MOV_AVG,8,30,163.570,248.975,3898.500,-6.047,100.000,4526.295,6170.022,6170.022,-0.463
CALL_AND_PUT,0.900,CLOSE_PRICE,2,5,163.570,170.624,599.500,-3.467,78.889,1026.307,1040.657,820.963,-0.271
CALL_AND_PUT,0.900,CLOSE_PRICE,2,30,163.570,187.991,95.500,-43.125,97.778,2895.730,3268.981,3196.337,-0.632
CALL_AND_PUT,0.900,CLOSE_PRICE,5,5,163.570,174.640,466.000,-21.972,55.556,988.053,972.593,540.329,-0.091
CALL_AND_PUT,0.900,CLOSE_PRICE,5,30,163.570,188.509,91.000,-44.988,77.778,2718.070,3207.869,2495.009,-0.490
CALL_AND_PUT,0.900,CLOSE_PRICE,8,5,163.570,174.287,466.000,-18.309,40.000,982.898,909.488,363.795,0.125
CALL_AND_PUT,0.900,CLOSE_PRICE,8,30,163.570,194.927,54.500,-69.486,58.333,2475.063,3232.920,1885.870,-0.373
CALL_AND_PUT,0.900,MOV_AVG,2,5,163.570,182.081,1060.500,-15.754,95.000,1360.253,1385.470,1316.197,-0.313
CALL_AND_PUT,0.900,MOV_AVG,2,30,163.570,230.731,1972.000,-4.073,97.778,3443.390,4248.474,4154.063,-0.445
CALL_AND_PUT,0.900,MOV_AVG,5,5,163.570,198.618,1551.000,-7.467,82.778,1752.791,1764.524,1460.634,0.110
CALL_AND_PUT,0.900,MOV_AVG,5,30,163.570,251.711,3897.500,-1.825,78.333,3975.886,5734.169,4491.766,-0.121
CALL_AND_PUT,0.900,MOV_AVG,8,5,163.570,200.277,1762.000,-7.464,68.889,1909.434,2001.685,1378.939,0.468
CALL_AND_PUT,0.900,MOV_AVG,8,30,163.570,255.943,3154.500,-5.893,93.889,4455.067,5677.081,5330.149,-0.443
