option_strategy,sigma,strike_base,window_size_ratio,expire_period,Close price,Strike,Option gain,Option gain est,Loss percent,Loss std,Average loss,Loss expect,Profit daily %
CALL_ONLY,0.800,CLOSE_PRICE,2,5,172.620,177.059,0.000,0.000,3.889,5049.097,7884.812,306.632,-0.355
CALL_ONLY,0.800,CLOSE_PRICE,2,30,172.620,181.349,0.000,0.000,0.000,2697.024,3078.889,0.000,0.000
CALL_ONLY,0.800,CLOSE_PRICE,5,5,172.620,175.777,0.000,0.000,5.000,5225.559,8247.954,412.398,-0.478
CALL_ONLY,0.800,CLOSE_PRICE,5,30,172.620,181.640,0.000,5760551447047134020866027531982882466773673481681026966837284963537427979235423541776993255821006289757709224565754519499281859640861068123866372228967196041762853942454660841205252117682799477753390428015242908017223188342636544.000,0.000,5682.314,6683.088,0.000,0.000
CALL_ONLY,0.800,CLOSE_PRICE,8,5,172.620,175.868,0.000,0.000,3.889,5102.520,7325.591,284.884,-0.330
CALL_ONLY,0.800,CLOSE_PRICE,8,30,172.620,181.637,0.000,0.000,0.000,5746.949,6682.586,0.000,0.000
CALL_ONLY,0.800,MOV_AVG,2,5,172.620,176.095,0.000,1141771677006750384444742166676857872880327476620178052361136587781017667474342458762547351552504893902419116397610296680330466181173678216113327162256249155552572895234569097875639175263569605948529125303052368921410726773568716332482542174208.000,23.889,5163.213,8598.802,2054.158,-2.380
CALL_ONLY,0.800,MOV_AVG,2,30,172.620,194.119,0.000,72828327786179981696490926808175259881262003674318370748308735099326120967651461948555921087754881961555987848516152882865552058932491547284138270138792050177798080311610444110182193432176165525757488173152102368591197765632.000,29.444,5159.810,8366.112,2463.355,-0.476
CALL_ONLY,0.800,MOV_AVG,5,5,172.620,181.848,0.000,0.000,31.667,5134.284,9016.986,2855.379,-3.308
CALL_ONLY,0.800,MOV_AVG,5,30,172.620,192.179,0.000,213666663510903895021084713336843597606840816776802967958970373280556939811647644519391252685719673104405642393341088590025930430045203088388210022833724227321856.000,37.778,4621.959,8384.271,3167.391,-0.612
CALL_ONLY,0.800,MOV_AVG,8,5,172.620,186.389,0.000,768643264583046579404833101793321919841390994739319902956555228660470993456363246812595898291666052376841780728204120659495021672807623022741735557832303989682565342560256.000,34.444,5039.404,9016.089,3105.542,-3.598
CALL_ONLY,0.800,MOV_AVG,8,30,172.620,190.820,0.000,73530944356458459460443007291630270800995507701683153239244890836184387200195314847568446099941620914533455206427813530352875917689600613834575776940459954280753416965343254699603709994009157943064256870530906970847170265088.000,71.667,4437.019,7855.469,5629.753,-1.087
CALL_ONLY,0.900,CLOSE_PRICE,2,5,172.620,177.614,0.000,20056346182093682969201575458129918347498466729107206022301532209714359560550716571346435237356788446649696574251419693401202727063518374676159484680982035751162889727588891080890976152427415521689932272762880.000,3.889,5178.355,7874.482,306.230,-0.355
CALL_ONLY,0.900,CLOSE_PRICE,2,30,172.620,182.440,0.000,72972919585688330064349284432746298771298643893378546392031800834919103292373302190877256976359117906980565008941666785828848057278515380813160756916188608050529686839541679902518101391559613018693319826027554412000301809664.000,0.000,2729.409,3019.261,0.000,0.000
CALL_ONLY,0.900,CLOSE_PRICE,5,5,172.620,176.171,0.000,0.000,2.222,5073.943,8068.881,179.308,-0.208
CALL_ONLY,0.900,CLOSE_PRICE,5,30,172.620,182.767,0.000,11949010667013032671518100681629372622407563314996951277831196150997318994638856805246080260014217842427376856982064810193911273309633841690829146675731233201578417605547572813587139700719616.000,0.000,5712.976,6596.088,0.000,0.000
CALL_ONLY,0.900,CLOSE_PRICE,8,5,172.620,176.274,0.000,3531563607941386051177757870194303891194111833385256557770914073187201979402211201742308253132701782729635657915464680310073480695125707265014890054752993398979922553585123211608064.000,2.222,5145.067,8018.032,178.178,-0.206
CALL_ONLY,0.900,CLOSE_PRICE,8,30,172.620,182.764,0.000,3680659105314654438813079818643826217156896130419705004474000620138477824142007082140363027166979382244941541050691921600697654444221605546042006672025649169534402967344132785176576.000,0.000,396.603,369.204,0.000,0.000
CALL_ONLY,0.900,MOV_AVG,2,5,172.620,176.647,0.000,456045771268542937443853733498381345677764687534894443765840072917020531391527787771312143794443336654972953579203444578600553644861753319532437580595391374207679175743793034121675826457381372236334644025778096905007976932614777766467811771275989665502461952.000,22.778,5205.321,8416.717,1917.141,-2.221
CALL_ONLY,0.900,MOV_AVG,2,30,172.620,195.287,0.000,0.000,28.333,5200.477,8347.070,2365.003,-0.457
CALL_ONLY,0.900,MOV_AVG,5,5,172.620,182.256,0.000,0.000,29.444,5122.589,8996.919,2649.093,-3.069
CALL_ONLY,0.900,MOV_AVG,5,30,172.620,193.372,0.000,1141771677006750384444742166676857872880327476620178052361136587781017667474342458762547351552504893902419116397610296680330466181173678216113327162256249155552572895234569097875639175263569605948529125303052368921410726773568716332482542174208.000,30.000,4540.465,8394.519,2518.356,-0.486
CALL_ONLY,0.900,MOV_AVG,8,5,172.620,186.819,0.000,5298747892030875260379542206345039615786124455295162471414248769103922255524406769498601192047566614324888932039969131245611952345411382026032637445068957725548311099459742447173632.000,33.889,5053.671,8953.843,3034.358,-3.516
CALL_ONLY,0.900,MOV_AVG,8,30,172.620,192.004,0.000,36003309108412390827124587126497967405424593835231529853672266508857063327705675373548088285809030319600373712309765277714222936238258625193112061298460996748435389379902738892264791706765028238630300986376192.000,62.778,4417.957,7844.002,4924.290,-0.951
CALL_ONLY,1.000,CLOSE_PRICE,2,5,172.620,178.169,0.000,12375603878805728824292378018769029348758071905035587702953190036477749417944418639069056254609267798552639629613490227119549090030604119955706203170953398960364375563500655384578604470052313169463195599552978616320.000,2.778,5257.795,8237.132,228.809,-0.265
CALL_ONLY,1.000,CLOSE_PRICE,2,30,172.620,183.531,0.000,45384231011860101383615888662879376968144621444799967241280832898563106072901107174000625800393989358175566118670567622321705884521395275850012828488797946738064671560042304048076863231422970822542013440599896969056798900224.000,0.000,3902.190,2890.913,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,5,5,172.620,176.566,0.000,1677918450163383321038828507016723989197318725239965944604066380805478121029586224254531836641444035758582975703296460743421480464940111614047193001901351362105058604774063987954498096618715890777621210421662150176755904475784447417817979944960.000,1.667,5208.237,7404.321,123.405,-0.143
CALL_ONLY,1.000,CLOSE_PRICE,5,30,172.620,183.895,0.000,0.000,0.000,,6.792,0.000,0.000
CALL_ONLY,1.000,CLOSE_PRICE,8,5,172.620,176.680,0.000,3033854490005153282992172133740961457945938482320681635288517788535257586056594359944667161633489557870205816791867536118834114854988944955459123961466021368362521690302925926039552.000,1.111,5157.656,7539.428,83.771,-0.097
CALL_ONLY,1.000,CLOSE_PRICE,8,30,172.620,183.891,0.000,6967473475973326108684374410799814186470532636726034738467275535660734202921841179909730965906696584084841601739277081012131230601412310284393171194887625066537715897459392890415754428248842018152689734069713467624342391836092057449728806445209918373888.000,0.000,391.310,304.630,0.000,0.000
CALL_ONLY,1.000,MOV_AVG,2,5,172.620,177.199,0.000,0.000,20.556,5187.245,8446.211,1736.166,-2.012
CALL_ONLY,1.000,MOV_AVG,2,30,172.620,196.455,0.000,8030373040824969560971458490210815208220882703436223716570776124014433222032988294732880222839722547486893690381907745433936956054826045086654426007538697447640399872.000,22.222,5180.235,8557.426,1901.650,-0.367
CALL_ONLY,1.000,MOV_AVG,5,5,172.620,182.664,0.000,31771444599943853934670668943949768342059690566630362712002784023702406608915713679279856457652181565057197561124806006880126849242429633147169107083264.000,27.222,5103.649,9016.599,2454.519,-2.844
CALL_ONLY,1.000,MOV_AVG,5,30,172.620,194.565,0.000,7724934240359252139752022453566877336879957031795717714177691193795951592600082859196146283186063206636416244578273553632056245612604227402479099941144966110802967580578019700028768922157521635704711369825792566521965404779184128.000,25.000,4478.769,8350.982,2087.746,-0.403
CALL_ONLY,1.000,MOV_AVG,8,5,172.620,187.249,0.000,0.000,33.333,5082.034,8867.328,2955.776,-3.425
CALL_ONLY,1.000,MOV_AVG,8,30,172.620,193.188,0.000,11949010668672865017160893424873132556950247450145197480598635998965876851573841339758214768339273847418170441962894866352534176286906137625141479591813755708097981840290577528622882412822528.000,56.111,4418.881,7889.644,4426.967,-0.855
CALL_ONLY,1.100,CLOSE_PRICE,2,5,172.620,178.724,0.000,4669724601982855651605958601502877779887138756695887826099388009459562684930662787087706623543373694866500359870868971996569535134879807239884342035504497093093372053718508134351350361434781250486272.000,2.778,5275.494,8133.512,225.931,-0.262
CALL_ONLY,1.100,CLOSE_PRICE,2,30,172.620,184.622,0.000,0.000,0.000,3948.631,2836.216,0.000,0.000
CALL_ONLY,1.100,CLOSE_PRICE,5,5,172.620,176.960,0.000,61433308262190002980968965722481147214932397397797772516174558085483787954657971648486767471159268729710610910505263912982301749163658128337699937504366314301955880041980661103160607030830562834916147243886873644512961363968.000,1.111,5379.173,7737.337,85.970,-0.100
CALL_ONLY,1.100,CLOSE_PRICE,5,30,172.620,185.022,0.000,102584060740197194688247983990277335941763504287729576033891373461041826100277743874130391028258570052342299372171109545472777711847432566578838891730348709394918898020040695525422887781836514979217408.000,0.000,,,,
CALL_ONLY,1.100,CLOSE_PRICE,8,5,172.620,177.086,0.000,0.000,0.556,5262.269,7066.325,39.257,-0.045
CALL_ONLY,1.100,CLOSE_PRICE,8,30,172.620,185.018,0.000,0.000,0.000,,,,
CALL_ONLY,1.100,MOV_AVG,2,5,172.620,177.751,0.000,6967518224964846747689607959571146242222945542021755567604205684214168914980836264351435063912180039983768798889796056195039859199785864487216777774801839041116916599228587526908377433635001114011717690492503119262652447073388390246722958810255066136576.000,17.778,5203.904,8566.395,1522.915,-1.764
CALL_ONLY,1.100,MOV_AVG,2,30,172.620,197.623,0.000,0.000,18.889,5161.737,8645.423,1633.024,-0.315
CALL_ONLY,1.100,MOV_AVG,5,5,172.620,183.072,0.000,1141771677006747920731949209008869965564244711418369173025416065679461904818520395937549192018871800467444168594361595955171889190945201625471167312086926795233410842578952684555975079676561286435746750940285922581202045338742817698814439194624.000,24.444,5089.958,8980.239,2195.169,-2.543
CALL_ONLY,1.100,MOV_AVG,5,30,172.620,195.758,0.000,0.000,21.111,4473.659,8422.490,1778.081,-0.343
CALL_ONLY,1.100,MOV_AVG,8,5,172.620,187.679,0.000,266371977683078541774195495075144998358549982645496818810338411354889315552803984857236779573806337034547972804370034696107375428568357773317937589889455811559116721045350888217497378848446799480866036983879966139246921970304396820480.000,31.667,5090.256,8908.949,2821.167,-3.269
CALL_ONLY,1.100,MOV_AVG,8,30,172.620,194.372,0.000,5760551447798819392226058424072228372566257771640498655032748522310741100378157138785500668268677080042147036927051573454134968188962188972567710218610537798884166636986553402077687654590515320215118057494524354068534290668322816.000,50.556,4430.820,7868.048,3977.735,-0.768
PUT_ONLY,0.800,CLOSE_PRICE,2,5,172.620,168.181,0.000,0.000,5.556,5112.804,7703.214,427.956,-0.496
