option_strategy,sigma,strike_base,window_size_ratio,expire_period,Close price,Strike,Option gain,Option gain est,Loss percent,Loss std,Average loss,Loss expect,Profit daily %
CALL_ONLY,0.800,CLOSE_PRICE,2,5,172.620,177.059,95.500,8.353,35.556,250.168,256.374,91.155,0.005
CALL_ONLY,0.800,CLOSE_PRICE,2,30,172.620,181.349,27.500,12.082,47.778,613.195,648.968,310.063,-0.055
CALL_ONLY,0.800,CLOSE_PRICE,5,5,172.620,175.777,95.500,47.497,33.333,250.201,253.898,84.633,0.013
CALL_ONLY,0.800,CLOSE_PRICE,5,30,172.620,181.640,27.500,1.120,41.111,590.439,699.277,287.480,-0.050
CALL_ONLY,0.800,CLOSE_PRICE,8,5,172.620,175.868,95.500,44.417,33.333,249.598,254.909,84.970,0.012
CALL_ONLY,0.800,CLOSE_PRICE,8,30,172.620,181.637,27.500,1.230,26.667,637.367,779.581,207.888,-0.035
CALL_ONLY,0.800,MOV_AVG,2,5,172.620,176.095,95.500,36.743,45.556,288.085,361.318,164.601,-0.080
CALL_ONLY,0.800,MOV_AVG,2,30,172.620,194.119,3.500,-95.971,63.889,827.652,1233.346,787.971,-0.151
CALL_ONLY,0.800,MOV_AVG,5,5,172.620,181.848,27.500,-5.534,43.889,414.779,551.442,242.022,-0.249
CALL_ONLY,0.800,MOV_AVG,5,30,172.620,192.179,5.000,-92.057,87.222,1041.413,1654.963,1443.496,-0.278
CALL_ONLY,0.800,MOV_AVG,8,5,172.620,186.389,10.500,-50.824,41.111,511.295,728.121,299.339,-0.335
CALL_ONLY,0.800,MOV_AVG,8,30,172.620,190.820,5.000,-84.762,100.000,1187.009,2076.855,2076.855,-0.400
CALL_ONLY,0.900,CLOSE_PRICE,2,5,172.620,177.614,54.000,65.473,31.667,246.198,249.831,79.113,-0.029
CALL_ONLY,0.900,CLOSE_PRICE,2,30,172.620,182.440,27.500,-21.027,42.222,612.311,610.846,257.913,-0.044
CALL_ONLY,0.900,CLOSE_PRICE,5,5,172.620,176.171,95.500,34.171,29.444,246.493,239.708,70.581,0.029
CALL_ONLY,0.900,CLOSE_PRICE,5,30,172.620,182.767,17.500,10.658,33.333,573.039,674.181,224.727,-0.040
CALL_ONLY,0.900,CLOSE_PRICE,8,5,172.620,176.274,95.500,30.706,31.111,245.207,244.711,76.132,0.022
CALL_ONLY,0.900,CLOSE_PRICE,8,30,172.620,182.764,17.500,10.793,21.111,617.966,755.313,159.455,-0.027
CALL_ONLY,0.900,MOV_AVG,2,5,172.620,176.647,95.500,19.340,43.333,275.929,346.407,150.110,-0.063
CALL_ONLY,0.900,MOV_AVG,2,30,172.620,195.287,2.500,-96.864,56.667,807.920,1181.908,669.748,-0.129
CALL_ONLY,0.900,MOV_AVG,5,5,172.620,182.256,27.500,-16.208,42.222,403.474,531.962,224.606,-0.228
CALL_ONLY,0.900,MOV_AVG,5,30,172.620,193.372,3.500,-93.783,85.000,1012.277,1593.041,1354.085,-0.261
CALL_ONLY,0.900,MOV_AVG,8,5,172.620,186.819,10.500,-58.778,40.556,501.887,701.725,284.588,-0.318
CALL_ONLY,0.900,MOV_AVG,8,30,172.620,192.004,5.000,-91.358,100.000,1171.248,1983.750,1983.750,-0.382
CALL_ONLY,1.000,CLOSE_PRICE,2,5,172.620,178.169,54.000,43.655,27.778,242.210,245.171,68.103,-0.016
CALL_ONLY,1.000,CLOSE_PRICE,2,30,172.620,183.531,17.500,-14.723,32.778,613.168,623.076,204.231,-0.036
CALL_ONLY,1.000,CLOSE_PRICE,5,5,172.620,176.566,95.500,21.502,26.111,244.147,227.754,59.469,0.042
CALL_ONLY,1.000,CLOSE_PRICE,5,30,172.620,183.895,17.500,-24.730,26.111,553.178,654.420,170.876,-0.030
CALL_ONLY,1.000,CLOSE_PRICE,8,5,172.620,176.680,95.500,18.464,25.556,242.416,232.186,59.336,0.042
CALL_ONLY,1.000,CLOSE_PRICE,8,30,172.620,183.891,17.500,-24.630,13.333,600.855,723.761,96.502,-0.015
CALL_ONLY,1.000,MOV_AVG,2,5,172.620,177.199,95.500,4.633,40.556,263.321,333.423,135.221,-0.046
CALL_ONLY,1.000,MOV_AVG,2,30,172.620,196.455,2.500,-98.334,56.111,796.981,1116.674,626.578,-0.121
CALL_ONLY,1.000,MOV_AVG,5,5,172.620,182.664,17.500,14.901,38.889,391.717,513.365,199.642,-0.211
CALL_ONLY,1.000,MOV_AVG,5,30,172.620,194.565,3.500,-96.719,75.000,984.333,1531.408,1148.556,-0.221
CALL_ONLY,1.000,MOV_AVG,8,5,172.620,187.249,10.500,-66.188,38.889,488.858,686.147,266.835,-0.297
CALL_ONLY,1.000,MOV_AVG,8,30,172.620,193.188,3.500,-93.244,98.333,1155.336,1894.878,1863.297,-0.359
CALL_ONLY,1.100,CLOSE_PRICE,2,5,172.620,178.724,54.000,23.639,22.778,239.494,232.953,53.061,0.001
CALL_ONLY,1.100,CLOSE_PRICE,2,30,172.620,184.622,17.500,-42.990,27.222,613.762,619.251,168.574,-0.029
CALL_ONLY,1.100,CLOSE_PRICE,5,5,172.620,176.960,95.500,10.987,23.889,245.056,215.322,51.438,0.051
CALL_ONLY,1.100,CLOSE_PRICE,5,30,172.620,185.022,10.500,-16.844,17.222,533.678,626.921,107.970,-0.019
CALL_ONLY,1.100,CLOSE_PRICE,8,5,172.620,177.086,95.500,7.646,21.111,242.498,219.672,46.375,0.057
CALL_ONLY,1.100,CLOSE_PRICE,8,30,172.620,185.018,10.500,-16.725,10.000,583.539,701.957,70.196,-0.012
CALL_ONLY,1.100,MOV_AVG,2,5,172.620,177.751,54.000,59.036,36.111,251.565,319.410,115.343,-0.071
CALL_ONLY,1.100,MOV_AVG,2,30,172.620,197.623,2.500,-99.156,53.333,786.611,1063.193,567.036,-0.109
CALL_ONLY,1.100,MOV_AVG,5,5,172.620,183.072,17.500,-1.871,36.667,382.764,485.902,178.164,-0.186
CALL_ONLY,1.100,MOV_AVG,5,30,172.620,195.758,2.500,-97.671,71.667,966.877,1448.770,1038.285,-0.200
CALL_ONLY,1.100,MOV_AVG,8,5,172.620,187.679,6.500,-53.095,37.222,478.352,663.602,247.007,-0.279
CALL_ONLY,1.100,MOV_AVG,8,30,172.620,194.372,3.500,-96.442,98.333,1113.075,1857.192,1826.239,-0.352
PUT_ONLY,0.800,CLOSE_PRICE,2,5,172.620,168.181,146.500,-44.853,32.222,297.955,296.909,95.671,0.059
PUT_ONLY,0.800,CLOSE_PRICE,2,30,172.620,163.891,53.500,-63.962,39.444,535.634,718.581,283.440,-0.044
PUT_ONLY,0.800,CLOSE_PRICE,5,5,172.620,169.463,146.500,-21.855,30.556,290.267,303.651,92.782,0.062
PUT_ONLY,0.800,CLOSE_PRICE,5,30,172.620,163.600,53.500,-67.335,37.778,550.985,740.647,279.800,-0.044
PUT_ONLY,0.800,CLOSE_PRICE,8,5,172.620,169.372,146.500,-23.697,31.667,299.066,305.022,96.590,0.058
PUT_ONLY,0.800,CLOSE_PRICE,8,30,172.620,163.603,53.500,-67.301,28.333,574.305,687.116,194.683,-0.027
PUT_ONLY,0.800,MOV_AVG,2,5,172.620,167.265,89.500,-31.212,43.889,304.190,414.710,182.012,-0.107
