option_strategy,sigma,strike_base,window_size_ratio,expire_period,Close price,Strike,Option gain,Option gain est,Loss percent,Loss std,Average loss,Loss expect,Profit daily %
CALL_ONLY,0.800,CLOSE_PRICE,2,5,163.570,171.935,0.000,inf,3.889,10994.288,25248.426,981.883,-1.201
CALL_ONLY,0.800,CLOSE_PRICE,2,30,163.570,184.077,200.500,122.613,0.000,13901.745,21414.756,0.000,0.041
CALL_ONLY,0.800,CLOSE_PRICE,5,5,163.570,172.176,0.000,inf,4.444,10922.260,24452.619,1086.783,-1.329
CALL_ONLY,0.800,CLOSE_PRICE,5,30,163.570,185.088,0.000,inf,0.000,19379.100,19959.177,0.000,0.000
CALL_ONLY,0.800,CLOSE_PRICE,8,5,163.570,172.893,400.000,90.836,4.444,10849.802,24413.952,1085.065,-0.838
CALL_ONLY,0.800,CLOSE_PRICE,8,30,163.570,185.204,0.000,inf,0.000,2129.743,1768.931,0.000,0.000
CALL_ONLY,0.800,MOV_AVG,2,5,163.570,183.978,200.500,123.704,11.667,11209.029,26187.996,3055.266,-3.491
CALL_ONLY,0.800,MOV_AVG,2,30,163.570,232.175,13.500,90.556,11.667,10415.884,25954.917,3028.074,-0.614
CALL_ONLY,0.800,MOV_AVG,5,5,163.570,197.415,73.500,199.238,22.778,10792.475,26697.133,6081.014,-7.345
CALL_ONLY,0.800,MOV_AVG,5,30,163.570,256.605,7.000,-33.734,30.556,9962.294,27095.736,8279.253,-1.686
CALL_ONLY,0.800,MOV_AVG,8,5,163.570,200.365,54.000,240.875,18.889,10678.513,26908.011,5082.624,-6.149
CALL_ONLY,0.800,MOV_AVG,8,30,163.570,254.289,7.500,-27.132,42.778,10496.312,26578.991,11369.902,-2.316
CALL_ONLY,0.900,CLOSE_PRICE,2,5,163.570,172.981,400.000,90.057,3.333,11215.966,24375.238,812.508,-0.504
CALL_ONLY,0.900,CLOSE_PRICE,2,30,163.570,186.640,0.000,inf,0.000,15002.037,23647.906,0.000,0.000
